Date,Open,High,Low,Close,Volume
22-Nov-16,143.94,145.53,143.41,145.38,595535
21-Nov-16,141.56,143.74,141.19,143.55,502276
18-Nov-16,142.50,142.70,140.43,140.63,443860
17-Nov-16,142.95,144.20,141.44,142.60,358370
16-Nov-16,141.61,143.52,139.87,142.93,363041
15-Nov-16,142.69,143.38,139.15,142.78,769050
14-Nov-16,146.24,149.12,142.64,143.44,783943
11-Nov-16,146.54,147.90,142.37,144.33,671364
10-Nov-16,140.94,152.52,140.94,147.73,1639899
9-Nov-16,131.86,140.05,131.77,139.32,672049
8-Nov-16,132.47,132.68,130.48,131.75,461960
7-Nov-16,135.80,137.57,132.34,133.03,995524
4-Nov-16,132.15,133.86,131.59,132.29,720806
3-Nov-16,131.82,133.71,131.46,132.86,624879
2-Nov-16,133.40,133.92,130.63,131.57,538645
1-Nov-16,133.13,135.18,131.94,134.34,699214
31-Oct-16,139.80,139.90,132.52,132.66,1026261
28-Oct-16,139.07,139.68,135.22,137.84,728047
27-Oct-16,142.22,142.22,137.97,138.92,728084
26-Oct-16,140.65,142.31,140.14,140.98,341211
25-Oct-16,142.46,143.41,140.83,141.77,259701
24-Oct-16,143.07,144.16,142.45,142.71,457736
21-Oct-16,139.26,141.49,138.92,141.37,667074
20-Oct-16,141.37,142.84,140.45,140.98,342547
19-Oct-16,141.87,142.61,141.10,141.78,274825
18-Oct-16,142.11,142.41,140.11,141.39,393859
17-Oct-16,142.76,142.86,139.66,139.82,398084
14-Oct-16,144.74,145.60,141.62,142.34,369762
13-Oct-16,143.35,143.48,140.36,142.63,539386
12-Oct-16,146.76,147.70,145.61,145.81,469098
11-Oct-16,150.87,150.87,145.95,146.64,735340
10-Oct-16,154.41,154.86,151.26,151.27,364194
7-Oct-16,154.00,154.26,151.86,153.06,423086
6-Oct-16,153.15,154.68,152.15,154.44,811034
5-Oct-16,147.50,153.16,147.50,152.79,840359
4-Oct-16,146.66,148.50,146.28,147.07,671601
3-Oct-16,144.19,147.15,143.94,146.40,527409
30-Sep-16,142.71,145.27,141.29,144.70,581856
29-Sep-16,142.96,145.10,140.42,140.61,483129
